21995: (2149313311, -1) (0, 0) (0, 0) 
22006: (0, 0) (2879441610, 1) (0, 0) 
22037: (0, 0) (0, 0) (3920263370, 2) 
22085: (2201791645, -2) (0, 0) (0, 0) 
22095: (3059569792, -1) (0, 0) (0, 0) 
22099: (0, 0) (0, 0) (1929998119, -1) 
22101: (0, 0) (170452592, -1) (0, 0) 
22105: (0, 0) (1787114852, -4) (0, 0) 
22196: (0, 0) (893404789, 1) (0, 0) 
22206: (0, 0) (0, 0) (1803474086, 4) 
22272: (0, 0) (0, 0) (3490518380, -1) 
22278: (2681644148, 1) (0, 0) (0, 0) 
22400: (798343819, 2) (0, 0) (0, 0) 
22523: (0, 0) (0, 0) (3581639349, -6) 
22553: (0, 0) (1636392681, 2) (0, 0) 
22596: (1698648443, 1) (0, 0) (0, 0) 
22718: (0, 0) (0, 0) (3381046897, 1) 
22740: (0, 0) (0, 0) (1695860865, -1) 
22793: (0, 0) (247157662, 2) (0, 0) 
22823: (0, 0) (0, 0) (1849739390, -1) 
22897: (0, 0) (4187334071, 1) (0, 0) 
23008: (0, 0) (3946646741, 1) (0, 0) 
23038: (0, 0) (4244817730, 1) (0, 0) 
23167: (0, 0) (3660704284, 1) (0, 0) 
23248: (0, 0) (739746855, 4) (0, 0) 
23339: (0, 0) (3331016941, 2) (0, 0) 
23506: (0, 0) (0, 0) (1023025926, -2) 
23576: (0, 0) (293948170, 1) (0, 0) 
23649: (0, 0) (0, 0) (501860737, 1) 
23820: (0, 0) (2853141421, 2) (0, 0) 
23848: (0, 0) (364064804, -1) (0, 0) 
23853: (1627167726, -10) (0, 0) (0, 0) 
24098: (2989366287, 1) (0, 0) (0, 0) 
24128: (0, 0) (923380850, 1) (0, 0) 
24174: (0, 0) (3269396067, -1) (0, 0) 
24223: (1069830873, -1) (0, 0) (0, 0) 
24384: (0, 0) (1067972356, 2) (1590200612, 1) 
24450: (0, 0) (1839343655, -4) (0, 0) 
24453: (2224336077, -1) (0, 0) (0, 0) 
24526: (1590237882, 1) (0, 0) (0, 0) 
24584: (0, 0) (4212625585, -1) (0, 0) 
24588: (0, 0) (2325384547, -1) (0, 0) 
24617: (0, 0) (4239487389, -1) (0, 0) 
24630: (0, 0) (1857201574, -2) (0, 0) 
24649: (1632569206, -5) (0, 0) (0, 0) 
24681: (0, 0) (3122539544, -4) (0, 0) 
24918: (13523177, 10) (0, 0) (0, 0) 
24973: (0, 0) (1577640019, -1) (0, 0) 
24987: (0, 0) (0, 0) (2024139036, 1) 
25000: (0, 0) (0, 0) (4138917453, 2) 
25015: (0, 0) (0, 0) (1788987181, 6) 
25173: (0, 0) (3986373677, 2) (0, 0) 
25205: (2156099445, -1) (0, 0) (2695364461, 1) 
25216: (0, 0) (0, 0) (2985500746, -4) 
25272: (0, 0) (0, 0) (1772113241, 1) 
25280: (0, 0) (1682154097, -1) (0, 0) 
25389: (0, 0) (0, 0) (1910035062, 1) 
25450: (0, 0) (0, 0) (1101061650, 1) 
25485: (0, 0) (2614175362, 1) (0, 0) 
25498: (2644522798, 3) (0, 0) (0, 0) 
25627: (0, 0) (0, 0) (164373871, 1) 
25698: (2568545755, 1) (0, 0) (0, 0) 
25705: (0, 0) (0, 0) (388515014, -1) 
25867: (0, 0) (0, 0) (2824301122, -1) 
25868: (4145906570, 5) (0, 0) (0, 0) 
25873: (0, 0) (0, 0) (1536236674, 1) 
